Ref	ID	Name
1	34541863	"""A"" Cell Breeding Device"
2	64163367	"""A"" Cell Incubator"
3	91231901	"""A"" Cell Recombination Device"
4	73262676	"""A"" Cell Scatter Burst"
5	98319530	"""Infernoble Arms - Almace"""
6	37478723	"""Infernoble Arms - Durendal"""
7	64867422	"""Infernoble Arms - Hauteclere"""
8	90861137	"""Infernoble Arms - Joyeuse"""
9	44256816	1st Movement Solo
10	86988864	3-Hump Lacooda
11	11714098	"30,000-Year White Turtle"
12	83994646	4-Starred Ladybug of Doom
13	67048711	7
14	23771716	7 Colored Fish
15	86198326	7 Completed
16	14261867	8-Claws Scorpion
17	4731783	"A Bao A Qu, the Lightless Shadow"
18	24140059	A Cat of Ill Omen
19	6850209	A Deal with Dark Ruler
20	49140998	A Feather of the Phoenix
21	68170903	A Feint Plan
22	21597117	A Hero Emerges
23	8949584	A Hero Lives
24	295517	A Legendary Ocean
25	32207100	A Major Upset
26	51351302	A Man with Wdjat
27	5728014	A Rival Appears!
28	44553392	"A Shattered, Colorless Realm"
29	23587624	A Wild Monster Appears!
30	28596933	A Wingbeat of Giant Dragon
31	30012506	A-Assault Core
32	13026402	A-Team: Trap Disposal Unit
33	75926389	A-to-Z Energy Load
34	65172015	A-to-Z-Dragon Buster Cannon
35	28645123	A.I. Challenge You
36	10493654	A.I. Contact
37	59332125	A.I. Love Fusion
38	6552971	A.I. Meet You
39	77421977	A.I. Shadow
40	85327820	A.I.'s Ritual
41	54374642	A.I.'s Show
42	22933016	A.I.dle Reborn
43	69381150	A.I.Q
44	96146814	A/D Changer
45	12694768	Abaki
46	89718302	Abare Ushioni
47	1561110	ABC-Dragon Buster
48	80801743	Abominable Chamber of the Unchained
49	1966438	Abominable Unchained Soul
50	27412542	Abomination's Prison
51	70832512	Absolute Crusader
52	27744077	Absolute End
53	27553701	Absolute King - Megaplunder
54	60990740	Absolute King Back Jack
55	51779204	Absolute Powerforce
56	71422989	Absorb Fusion
57	3900605	Absorbing Jar
58	49771608	Absorbing Kid from the Sky
59	67748760	Absorouter Dragon
60	15308295	Abyss Actor - Comic Relief
61	44179224	Abyss Actor - Curtain Raiser
62	52240819	Abyss Actor - Evil Heel
63	88412339	Abyss Actor - Extras
64	99634927	Abyss Actor - Funky Comedian
65	2368215	Abyss Actor - Hyper Director
66	24907044	Abyss Actor - Leading Lady
67	65477143	Abyss Actor - Liberty Dramatist
68	78310590	Abyss Actor - Mellow Madonna
69	51028231	Abyss Actor - Sassy Rookie
70	47404795	Abyss Actor - Super Producer
71	25629622	Abyss Actor - Superstar
72	39024589	Abyss Actor - Trendy Understudy
73	7279373	Abyss Actor - Twinkle Little Star
74	51391183	Abyss Actor - Wild Hope
75	59057953	Abyss Actors Back Stage
76	4682617	Abyss Actors' Curtain Call
77	6004133	Abyss Actors' Dress Rehearsal
78	21044178	Abyss Dweller
79	40387124	Abyss Flower
80	82184400	Abyss Keeper
81	77297908	Abyss Playhouse - Fantastic Theater
82	86578200	Abyss Prop - Wild Wagon
83	70564929	Abyss Script - Abysstainment
84	33503878	Abyss Script - Dramatic Story
85	87390798	Abyss Script - Fantasy Magic
86	50179591	Abyss Script - Fire Dragon's Lair
87	23784496	Abyss Script - Opening Ceremony
88	13662809	Abyss Script - Rise of the Abyss King
89	41803903	Abyss Script - Romantic Terror
90	61496006	Abyss Shark
